# Rime user dictionary
#@/db_name	wubi86
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	21342
#@/user_id	4a724b77-b474-4a53-8ab8-27f5bbc0adee
cn 	马	c=1 d=1 t=322
cnh 	巴	c=2 d=1.99501 t=20827
cnhh 	马上	c=6 d=1.00008 t=19008
cqcn 	鸡巴	c=1 d=1 t=4784
cqqb 	欢迎	c=1 d=1 t=18112
cqy 	鸡	c=2 d=1 t=16651
cw 	难	c=8 d=1.11424 t=19720
cwep 	难受	c=13 d=2.06087 t=19330
cwfp 	难过	c=2 d=1 t=18098
cwnc 	难怪	c=1 d=1 t=16222
cwtj 	难得	c=1 d=1 t=6177
cyi 	叉	c=1 d=1 t=17948
cyna 	骗	c=8 d=1 t=20858
d 	在	c=211 d=3.28347 t=21266
dadk 	左右	c=3 d=1 t=19018
dalp 	左边	c=1 d=1 t=21268
damh 	砸	c=4 d=2.8182 t=16787
dcg 	码	c=4 d=1 t=21108
dcud 	友善	c=2 d=1.92312 t=2878
dcvb 	友好	c=3 d=1.02774 t=10132
dd 	大	c=109 d=1.29023 t=21342
ddd 	磊	c=15 d=2.34277 t=21041
dddg 	大三	c=1 d=1 t=11917
dddx 	大龙	c=3 d=2.85215 t=17015
ddey 	大脑	c=1 d=1 t=11117
ddfg 	硕士	c=1 d=1 t=20787
ddfn 	励志	c=1 d=1 t=18976
ddgc 	大致	c=1 d=1 t=15564
ddgf 	大于	c=1 d=1 t=15610
ddht 	厦	c=1 d=1 t=3551
ddih 	大小	c=1 d=1 t=9381
ddip 	大学	c=37 d=1 t=19615
ddis 	大河	c=1 d=1 t=165
ddix 	大涨	c=1 d=0.1 t=14287
ddkh 	大跌	c=1 d=1 t=7699
ddkh 	套路	c=1 d=1 t=6843
ddnn 	大局	c=1 d=1 t=16977
ddpd 	厉害	c=1 d=1 t=7826
ddpe 	大家	c=6 d=1.97531 t=19249
ddpy 	大神	c=5 d=1 t=14355
ddsk 	大哥	c=2 d=1.90484 t=7532
ddsv 	大概	c=1 d=1 t=7345
ddte 	大盘	c=3 d=1 t=16719
ddu 	套	c=9 d=4.52746 t=19512
ddut 	大道	c=2 d=1 t=16766
ddwf 	大会	c=1 d=1 t=19236
ddwf 	大佬	c=1 d=1 t=6830
ddwg 	大便	c=1 d=1 t=18367
ddww 	大众	c=1 d=1 t=7967
de 	胡	c=4 d=1 t=20682
def 	有	c=208 d=2.51892 t=21065
defh 	有趣	c=1 d=1 t=19165
dehk 	有点	c=2 d=0.100007 t=20689
dehx 	有些	c=10 d=1 t=20803
depw 	有空	c=3 d=1 t=17880
deqg 	有钱	c=2 d=1.75578 t=20965
desc 	有权	c=1 d=1 t=9786
deud 	有关	c=2 d=1.89583 t=18979
dewh 	有个	c=1 d=1 t=20420
dfa 	奔	c=2 d=1.00008 t=12475
dff 	硅	c=1 d=1 t=8275
dffg 	硅	c=1 d=1 t=5973
dflt 	压力	c=7 d=1.25713 t=11483
dfrq 	压抑	c=2 d=1.956 t=13575
dfy 	压	c=1 d=1 t=14106
dg 	三	c=53 d=2.075 t=21126
dgel 	威胁	c=1 d=1 t=7526
dgg 	三	c=1 d=1 t=270
dgh 	古	c=1 d=1 t=18978
dgim 	石油	c=1 d=1 t=652
dgip 	感觉	c=14 d=1.27425 t=20651
dgj 	硬	c=3 d=1 t=12347
dgjh 	感冒	c=2 d=1 t=7055
dgkn 	感	c=1 d=1 t=10746
dgng 	感情	c=2 d=1 t=11344
dgpw 	研究	c=7 d=1.00002 t=18240
dgsg 	三本	c=11 d=0.1 t=15975
dgt 	厂	c=2 d=1 t=20809
dgte 	硬盘	c=1 d=1 t=20814
dgtf 	三等	c=2 d=0.100007 t=15990
dgv 	威	c=1 d=1 t=17637
dgyt 	感谢	c=3 d=1 t=13958
dh 	丰	c=1 d=1 t=1657
dhb 	存	c=1 d=1 t=18308
dhc 	破	c=3 d=1 t=19559
dhfg 	破坏	c=1 d=1 t=5896
dhnh 	丰收	c=2 d=1.89137 t=6209
dhpg 	丰富	c=1 d=1 t=18500
dhqe 	破解	c=5 d=3.68894 t=19809
dht 	夏	c=8 d=3.68215 t=18127
dhut 	破产	c=1 d=1 t=13781
dj 	百	c=11 d=1.681 t=19759
djd 	非	c=6 d=1 t=20959
djip 	非常	c=2 d=1 t=18993
djya 	百度	c=4 d=1.00056 t=19212
dk 	右	c=1 d=1 t=13042
dklp 	右边	c=1 d=1 t=21271
dlrh 	历年	c=1 d=1 t=18069
dltk 	历程	c=1 d=1 t=13647
dm 	面	c=14 d=1.03197 t=16064
dmbb 	面子	c=2 d=1.01384 t=5218
dmeg 	而且	c=8 d=1.57984 t=19609
dmj 	而	c=2 d=1 t=16264
dmnn 	而已	c=2 d=1 t=10104
dmrn 	厕所	c=1 d=1 t=18534
dmu 	页	c=2 d=1.96561 t=6023
dmya 	面试	c=3 d=1 t=20890
dmyy 	而言	c=1 d=1 t=9728
dn 	成	c=20 d=1.69841 t=19122
dnal 	成功	c=2 d=1 t=19824
dngg 	万一	c=1 d=1 t=8666
dngk 	万事	c=1 d=1 t=14814
dnjf 	万里	c=4 d=1 t=13756
dnsg 	成本	c=1 d=1 t=17302
dnv 	万	c=4 d=1 t=14746
dnwv 	成分	c=1 d=1 t=16033
dnww 	万人	c=5 d=4.71084 t=597
dnxg 	成绩	c=2 d=1 t=10371
dnyl 	成为	c=1 d=1 t=20238
do 	灰	c=2 d=1.10026 t=9248
dp 	达	c=3 d=1 t=14748
dpdn 	达成	c=1 d=1 t=17636
dpq 	碗	c=1 d=1 t=7846
dqpg 	确定	c=2 d=1.00005 t=9907
dqpu 	确实	c=11 d=1 t=20598
dqq 	爽	c=1 d=1 t=17479
dqqq 	爽	c=1 d=0.565525 t=21342
dqw 	砍	c=1 d=1 t=16069
dr 	原	c=1 d=1 t=1239
drga 	原型	c=1 d=1 t=2087
drgo 	原来	c=3 d=1.00003 t=20121
drld 	原因	c=1 d=1 t=10584
drsg 	原本	c=2 d=1.98511 t=19485
drtf 	原先	c=1 d=1 t=11407
drth 	原版	c=2 d=1 t=10042
druj 	愿意	c=3 d=1.518 t=11230
drvc 	原始	c=1 d=1 t=4267
drwr 	原件	c=1 d=1 t=371
ds 	厅	c=1 d=1 t=18039
dskf 	奇	c=1 d=1 t=4701
